,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
0,1647935913-3904,https://www.toilet.org.sg/loomapdirectory,Dormitory,Unison Construction Dormitory,https://www.toilet.org.sg/gallery/201/5-star-toilet-unison-construction-dormitor,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","6 Tuas Basin Link, S(638760)",Unison Construction Dormitory,South West District,"(1.3184954, 103.6484818)"
1,1647935913-3874,https://www.toilet.org.sg/loomapdirectory,MRT Station,Dakota MRT Station,https://www.toilet.org.sg/gallery/143/4-star-toilet-dakota-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","201 Airport Road, S(397973)",Dakota MRT Station,South East District,
2,1647935913-3895,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Bukit  Batok Bus Interchange,https://www.toilet.org.sg/gallery/397/5-star-toilet-bukit-batok-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","631 Bukit Batok Central, S(650631)",Bukit  Batok Bus Interchange,South West District,"(1.3496816, 103.7512047)"
3,1647935913-3641,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Harbourfront Bus Terminal,https://www.toilet.org.sg/gallery/302/4-star-toilet-harbourfront-bus-terminal,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","4 Seah Im Road, S(099115)",Harbourfront Bus Terminal,Central District,"(1.2669654, 103.8190449)"
4,1647935913-3857,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Vista Point,https://www.toilet.org.sg/gallery/127/3-star-toilet-vista-point,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 548 Woodlands Drive 44, S(730548)",Vista Point,North West District,"(1.4313546, 103.7940534)"
5,1647935913-3797,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Serangoon Garden Market,https://www.toilet.org.sg/gallery/104/5-star-toilet-serangoon-garden-market,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","49A Serangoon Garden Way, S(555945)",Serangoon Garden Market,North East District,"(1.363381, 103.866835)"
6,1647935913-3821,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Rivervale Plaza,https://www.toilet.org.sg/gallery/112/4-star-toilet-rivervale-plaza,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","118, Rivervale Plaza, S(540118)",Rivervale Plaza,North East District,"(1.3855939, 103.9019834)"
7,1647935913-3649,https://www.toilet.org.sg/loomapdirectory,Club,Seletar Country Club (Ballroom),https://www.toilet.org.sg/gallery/267/5-Stars-Seletar-Country-Club,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","101 Seletar Club Road, Singapore (798273)",Seletar Country Club (Ballroom),Central District,"(1.4096081, 103.8581298)"
8,1647935913-3849,https://www.toilet.org.sg/loomapdirectory,MRT Station,Woodlands South Station (TEL3),https://www.toilet.org.sg/gallery/389/4-star-toilet-woodlands-north-mrt-station-tel3,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","30 Woodlands Drive 17, S(737741)",Woodlands South Station (TEL3),North West District,"(1.4273055, 103.790646)"
9,1647935913-3851,https://www.toilet.org.sg/loomapdirectory,MRT Station,Yew Tee MRT Station,https://www.toilet.org.sg/gallery/120/4-star-toilet-yew-tee-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","61 Choa Chu Kang Drive, S(689715)",Yew Tee MRT Station,North West District,"(1.3974769, 103.7474263)"
