,type,image_link-href,address,toilet_name,district_name,coords,award_int
0,Dormitory,https://www.toilet.org.sg/gallery/201/5-star-toilet-unison-construction-dormitor,"6 Tuas Basin Link, S(638760)",Unison Construction Dormitory,South West District,"(1.3184954, 103.6484818)",5
1,MRT Station,https://www.toilet.org.sg/gallery/143/4-star-toilet-dakota-mrt-station,"201 Airport Road, S(397973)",Dakota MRT Station,South East District,"(1.308182, 103.888678)",4
2,Bus Interchange,https://www.toilet.org.sg/gallery/397/5-star-toilet-bukit-batok-bus-interchange,"631 Bukit Batok Central, S(650631)",Bukit  Batok Bus Interchange,South West District,"(1.3496816, 103.7512047)",5
3,Bus Interchange,https://www.toilet.org.sg/gallery/302/4-star-toilet-harbourfront-bus-terminal,"4 Seah Im Road, S(099115)",Harbourfront Bus Terminal,Central District,"(1.2669654, 103.8190449)",4
4,Shopping Centre,https://www.toilet.org.sg/gallery/127/3-star-toilet-vista-point,"Blk 548 Woodlands Drive 44, S(730548)",Vista Point,North West District,"(1.4313546, 103.7940534)",3
5,Market & Food Centre,https://www.toilet.org.sg/gallery/104/5-star-toilet-serangoon-garden-market,"49A Serangoon Garden Way, S(555945)",Serangoon Garden Market,North East District,"(1.363381, 103.866835)",5
6,Shopping Centre,https://www.toilet.org.sg/gallery/112/4-star-toilet-rivervale-plaza,"118, Rivervale Plaza, S(540118)",Rivervale Plaza,North East District,"(1.3855939, 103.9019834)",4
7,Club,https://www.toilet.org.sg/gallery/267/5-Stars-Seletar-Country-Club,"101 Seletar Club Road, Singapore (798273)",Seletar Country Club (Ballroom),Central District,"(1.4096081, 103.8581298)",5
8,MRT Station,https://www.toilet.org.sg/gallery/389/4-star-toilet-woodlands-north-mrt-station-tel3,"30 Woodlands Drive 17, S(737741)",Woodlands South Station (TEL3),North West District,"(1.4273055, 103.790646)",4
9,MRT Station,https://www.toilet.org.sg/gallery/120/4-star-toilet-yew-tee-mrt-station,"61 Choa Chu Kang Drive, S(689715)",Yew Tee MRT Station,North West District,"(1.3974769, 103.7474263)",4
10,Shopping Centre,https://www.toilet.org.sg/gallery/46/4-star-toilet-dawson-place-shopping-centre,"57 Dawson Road, S(142057)",Dawson Place Shopping Centre,Central District,"(1.2927082, 103.8110301)",4
11,MRT Station,https://www.toilet.org.sg/gallery/78/4-star-toilet-dhoby-ghaut-mrt-station-circle-line,"11 Orchard Road, S(238826)",Dhoby Ghaut MRT Station Circle Line,Central District,"(1.2986545, 103.8464611)",4
12,Bus Interchange,https://www.toilet.org.sg/gallery/137/4-star-toilet-sembawang-bus-interchange,"11A, Sembawang Vista, S(757527)",Sembawang Bus Interchange,North West District,"(1.4472813, 103.8195946)",4
13,MRT Station,https://www.toilet.org.sg/gallery/89/4-star-toilet-dhoby-ghaut-mrt-station,"11 Orchard Road, S(238826) NS24",Dhoby Ghaut MRT Station,Central District,"(1.298811, 103.846127)",4
14,MRT Station,https://www.toilet.org.sg/gallery/319/4-star-toilet-buangkok-mrt-station-ne15,"10 Sengkang Central, S(545061)",Buangkok MRT Station (NE15),North East District,"(1.3822965, 103.8928083)",4
15,Shopping Centre,https://www.toilet.org.sg/gallery/130/5-star-toilet-sembawang-mart,"Blk 511 Canberra Road, S(750511)",Sembawang Mart,North West District,"(1.4538337, 103.8195883)",5
16,MRT Station,https://www.toilet.org.sg/gallery/248/4-stars-tampines-east-mrt-station-dt33,"20 Tampines Avenue 7, S(529623)",Tampines East MRT Station (DT33),North East District,"(1.3568215, 103.9556869)",4
17,Market & Food Centre,https://www.toilet.org.sg/gallery/342/3-star-toilet-whampoa-drive-makan-place-blk-92,"Blk 92 Whampoa Drive, S(320092)",Whampoa Drive Makan Place@Blk 92,Central District,"(1.3231083, 103.8538791)",3
18,MRT Station,https://www.toilet.org.sg/gallery/145/4-star-toilet-bedok-mrt-station,"315 New Upper Changi Road, S(467347)",Bedok MRT Station,South East District,"(1.3239657, 103.9300335)",4
19,Shopping Centre,https://www.toilet.org.sg/gallery/166/3-star-toilet-yew-tee-square,"624 Choa Chu Kang Street 62, S(680624)",Yew Tee Square,South West District,"(1.3981277, 103.7468169)",3
20,MRT Station,https://www.toilet.org.sg/gallery/417/4-Star-Toilet-Caldecott-Mrt-Station-TE9-,"38 Toa Payoh Rise, S(298113)",Caldecott MRT Station (TE9),Central District,"(1.3378174, 103.8394749)",4
21,Place of Worship,https://www.toilet.org.sg/gallery/385/4-star-toilet-assyakirin-mosque,"550 Yung An Road, S(618617)",Assyakirin Mosque,South West District,"(1.3355308, 103.7195949)",4
22,Private Office,https://www.toilet.org.sg/gallery/139/3-star-toilet-kah-engineering-1986-pte-ltd,"96B Jalan Senang, S(418482)",Kah Engineering (1988) Pte Ltd,South East District,"(1.3269508, 103.9167487)",3
23,MRT Station,https://www.toilet.org.sg/gallery/370/4-star-toilet-choa-chu-kang-mrt-station-ns4,10 Choa Chu Kang Avenue 4 S(689810),Choa Chu Kang MRT Station (NS4),South West District,"(1.3852487, 103.7443487)",4
24,Hospital,https://www.toilet.org.sg/gallery/48/5-star-toilet-tan-tock-seng-hospital,"11 Jalan Tan Tock Seng, S(308433)",Tan Tock Seng Hospital,Central District,"(1.3210806, 103.8456848)",5
25,MRT Station,https://www.toilet.org.sg/gallery/347/4-star-toilet-commonwealth-mrt-station-ew20,"375 Commonwealth Avenue, S(149735)",Commonwealth MRT Station (EW20),Central District,"(1.3024362, 103.798297)",4
26,Shopping Centre,https://www.toilet.org.sg/gallery/207/6-star-toilet-the-shoppes-at-marina-bay-sands,"2 Bayfront Avenue, S(018972)",The Shoppes at Marina Bay Sands,Central District,"(1.2836602, 103.8592707)",6
27,Bus Interchange,https://www.toilet.org.sg/gallery/290/3-star-toilet-joo-koon-bus-interchange,"55 Benoi Road, S(629907)",Joo Koon Bus Interchange,South West District,"(1.3261298, 103.6783611)",3
28,Place of worship,https://www.toilet.org.sg/gallery/407/3-star-toilet-st-george-s-church,"44 Minden Road, S(248816)",St.George's Church,Central District,"(1.304811, 103.815153)",3
29,MRT Station,,"90 Bras Basah Road, S(189562)",Esplanade MRT Station,Central District,"(1.2934, 103.8556519)",4
30,Market & Food Centre,https://www.toilet.org.sg/gallery/22/4-star-toilet-berseh-food-centre,"166 Jalan Besar, S(208877)",Berseh Food Centre,Central District,"(1.3075861, 103.8569093)",4
31,Bus Interchange,https://www.toilet.org.sg/gallery/136/3-star-toilet-woodlands-bus-interchange,"3A Woodlands Square, S(727735)",Woodlands Temporary Bus Interchange,North West District,"(1.4382545, 103.7866262)",3
32,Shopping Centre,,"Blk 768 Woodlands Street 61, S(730768)",Woodlands Mart,North West District,"(1.445962, 103.798159)",3
33,Food Court,https://www.toilet.org.sg/gallery/134/4-star-toilet-ntuc-foodfare-ktph,"90 Yishun Central, S(768828)",NTUC Foodfare KTPH,North West District,"(1.4242972, 103.8385907)",4
34,Coffeeshop,https://www.toilet.org.sg/gallery/181/3-star-toilet-ntuc-foodfare-choa-chu-kang,"Blk 303, Choa Chu Kang Avenue 4, #01-723, S(680303)",NTUC Foodfare Choa Chu Kang,South West District,"(1.3845137, 103.7436364)",3
35,Bus Interchange,https://www.toilet.org.sg/gallery/424/5-Star-Toilet-Woodlands-Integrated-Transport-Hub,"30 Woodlands Avenue, S(738343)",Woodlands Integrated Transport Hub,North West District,"(1.437284, 103.787152)",5
36,MRT Station,https://www.toilet.org.sg/gallery/318/4-star-toilet-botanic-garden-mrt-station-dt9,"100 Cluny Park, S(257494)",Botanic Garden (DT9),Central District,"(1.3222145, 103.8145958)",4
37,Club,https://www.toilet.org.sg/gallery/394/5-star-toilet-ntuc-club-downtown-east,1 Pasir Ris Close S(519599),NTUC Club Downtown East,North East District,"(1.3788396, 103.9549927)",5
38,Bus Interchange,https://www.toilet.org.sg/gallery/293/3-star-toilet-st-michael-s-bus-terminal,"10 Whampoa Road, S(327691)",St. Michael's Bus Terminal,Central District,"(1.326925, 103.855475)",3
39,Bus Interchange,https://www.toilet.org.sg/gallery/404/4-star-toilet-ang-mo-kio-bus-depot,"Ang Mo Kio Street 52, S(569140)",Ang Mo Kio Bus Depot,Central District,"(1.3725641, 103.8533049)",4
40,MRT Station,https://www.toilet.org.sg/gallery/328/4-star-toilet-serangoon-mrt-station-ne12,"600 Upper Serangoon Rd., S(534801)",Serangoon MRT Station (NE12),South East District,"(1.3493666, 103.873754)",4
